,Genre,variable,value
0,Action,USA,0.0790270766407
1,Adventure,USA,0.0628728774667
2,Animation,USA,0.0167049105094
3,Biography,USA,0.0164295548417
4,Comedy,USA,0.140339605324
5,Crime,USA,0.0616796695732
6,Documentary,USA,0.00826067003212
7,Drama,USA,0.169986232217
8,Family,USA,0.0400183570445
9,Fantasy,USA,0.0446994033961
10,Film-Noir,USA,0.000550711335475
11,Game-Show,USA,9.17852225792e-05
12,History,USA,0.0100045892611
13,Horror,USA,0.0402019274897
14,Music,USA,0.0158788435062
15,Musical,USA,0.0100963744837
16,Mystery,USA,0.0340523175769
17,News,USA,0.000183570445158
18,Reality-TV,USA,9.17852225792e-05
19,Romance,USA,0.0770078017439
20,Sci-Fi,USA,0.044056906838
21,Short,USA,0.000367140890317
22,Sport,USA,0.0138595686095
23,Thriller,USA,0.0963744837081
24,War,USA,0.010463515374
25,Western,USA,0.00670032124828
26,Action,UK,0.0686274509804
27,Adventure,UK,0.0739064856712
28,Animation,UK,0.00904977375566
29,Biography,UK,0.0429864253394
30,Comedy,UK,0.0965309200603
31,Crime,UK,0.0580693815988
32,Documentary,UK,0.00829562594268
33,Drama,UK,0.199849170437
34,Family,UK,0.0286576168929
35,Fantasy,UK,0.0346907993967
36,Film-Noir,UK,0.0
37,Game-Show,UK,0.0
38,History,UK,0.0294117647059
39,Horror,UK,0.0301659125189
40,Music,UK,0.0165912518854
41,Musical,UK,0.00678733031674
42,Mystery,UK,0.0377073906486
43,News,UK,0.0
44,Reality-TV,UK,0.0
45,Romance,UK,0.0814479638009
46,Sci-Fi,UK,0.0346907993967
47,Short,UK,0.000754147812971
48,Sport,UK,0.0105580693816
49,Thriller,UK,0.103318250377
50,War,UK,0.0248868778281
51,Western,UK,0.00301659125189
52,Action,New Zealand,0.125
53,Adventure,New Zealand,0.145833333333
54,Animation,New Zealand,0.0
55,Biography,New Zealand,0.0625
56,Comedy,New Zealand,0.0208333333333
57,Crime,New Zealand,0.0416666666667
58,Documentary,New Zealand,0.0208333333333
59,Drama,New Zealand,0.25
60,Family,New Zealand,0.0208333333333
61,Fantasy,New Zealand,0.0625
62,Film-Noir,New Zealand,0.0
63,Game-Show,New Zealand,0.0
64,History,New Zealand,0.0
65,Horror,New Zealand,0.0208333333333
66,Music,New Zealand,0.0208333333333
67,Musical,New Zealand,0.0
68,Mystery,New Zealand,0.0208333333333
69,News,New Zealand,0.0
70,Reality-TV,New Zealand,0.0
71,Romance,New Zealand,0.104166666667
72,Sci-Fi,New Zealand,0.0
73,Short,New Zealand,0.0
74,Sport,New Zealand,0.0208333333333
75,Thriller,New Zealand,0.0208333333333
76,War,New Zealand,0.0
77,Western,New Zealand,0.0416666666667
78,Action,Canada,0.0749279538905
79,Adventure,Canada,0.0374639769452
80,Animation,Canada,0.00864553314121
81,Biography,Canada,0.0172910662824
82,Comedy,Canada,0.118155619597
83,Crime,Canada,0.0518731988473
84,Documentary,Canada,0.00576368876081
85,Drama,Canada,0.187319884726
86,Family,Canada,0.0317002881844
87,Fantasy,Canada,0.0403458213256
88,Film-Noir,Canada,0.0
89,Game-Show,Canada,0.0
90,History,Canada,0.0115273775216
91,Horror,Canada,0.0835734870317
92,Music,Canada,0.00864553314121
93,Musical,Canada,0.00576368876081
94,Mystery,Canada,0.0518731988473
95,News,Canada,0.0
96,Reality-TV,Canada,0.0
97,Romance,Canada,0.0489913544669
98,Sci-Fi,Canada,0.0634005763689
99,Short,Canada,0.0
100,Sport,Canada,0.0201729106628
101,Thriller,Canada,0.112391930836
102,War,Canada,0.00864553314121
103,Western,Canada,0.0115273775216
104,Action,Australia,0.0909090909091
105,Adventure,Australia,0.0909090909091
106,Animation,Australia,0.0113636363636
107,Biography,Australia,0.0284090909091
108,Comedy,Australia,0.0909090909091
109,Crime,Australia,0.0227272727273
110,Documentary,Australia,0.00568181818182
111,Drama,Australia,0.159090909091
112,Family,Australia,0.0454545454545
113,Fantasy,Australia,0.0284090909091
114,Film-Noir,Australia,0.0
115,Game-Show,Australia,0.0
116,History,Australia,0.0113636363636
117,Horror,Australia,0.0568181818182
118,Music,Australia,0.0113636363636
119,Musical,Australia,0.0113636363636
120,Mystery,Australia,0.0397727272727
121,News,Australia,0.0
122,Reality-TV,Australia,0.0
123,Romance,Australia,0.0738636363636
124,Sci-Fi,Australia,0.0738636363636
125,Short,Australia,0.0
126,Sport,Australia,0.00568181818182
127,Thriller,Australia,0.0909090909091
128,War,Australia,0.0340909090909
129,Western,Australia,0.0170454545455
130,Action,Belgium,0.125
131,Adventure,Belgium,0.1875
132,Animation,Belgium,0.0625
133,Biography,Belgium,0.0625
134,Comedy,Belgium,0.0625
135,Crime,Belgium,0.0
136,Documentary,Belgium,0.0
137,Drama,Belgium,0.0625
138,Family,Belgium,0.0625
139,Fantasy,Belgium,0.0625
140,Film-Noir,Belgium,0.0
141,Game-Show,Belgium,0.0
142,History,Belgium,0.0
143,Horror,Belgium,0.0
144,Music,Belgium,0.0
145,Musical,Belgium,0.0
146,Mystery,Belgium,0.0
147,News,Belgium,0.0
148,Reality-TV,Belgium,0.0
149,Romance,Belgium,0.125
150,Sci-Fi,Belgium,0.125
151,Short,Belgium,0.0
152,Sport,Belgium,0.0
153,Thriller,Belgium,0.0625
154,War,Belgium,0.0
155,Western,Belgium,0.0
156,Action,Japan,0.141176470588
157,Adventure,Japan,0.164705882353
158,Animation,Japan,0.117647058824
159,Biography,Japan,0.0
160,Comedy,Japan,0.0470588235294
161,Crime,Japan,0.0117647058824
162,Documentary,Japan,0.0
163,Drama,Japan,0.0941176470588
164,Family,Japan,0.0823529411765
165,Fantasy,Japan,0.0705882352941
166,Film-Noir,Japan,0.0
167,Game-Show,Japan,0.0
168,History,Japan,0.0117647058824
169,Horror,Japan,0.0470588235294
170,Music,Japan,0.0
171,Musical,Japan,0.0
172,Mystery,Japan,0.0235294117647
173,News,Japan,0.0
174,Reality-TV,Japan,0.0
175,Romance,Japan,0.0117647058824
176,Sci-Fi,Japan,0.0941176470588
177,Short,Japan,0.0
178,Sport,Japan,0.0
179,Thriller,Japan,0.0588235294118
180,War,Japan,0.0117647058824
181,Western,Japan,0.0117647058824
182,Action,Germany,0.0869565217391
183,Adventure,Germany,0.0535117056856
184,Animation,Germany,0.0133779264214
185,Biography,Germany,0.0301003344482
186,Comedy,Germany,0.107023411371
187,Crime,Germany,0.0969899665552
188,Documentary,Germany,0.0066889632107
189,Drama,Germany,0.180602006689
190,Family,Germany,0.0401337792642
191,Fantasy,Germany,0.0367892976589
192,Film-Noir,Germany,0.0
193,Game-Show,Germany,0.0
194,History,Germany,0.0100334448161
195,Horror,Germany,0.0334448160535
196,Music,Germany,0.0066889632107
197,Musical,Germany,0.0
198,Mystery,Germany,0.0367892976589
199,News,Germany,0.0
200,Reality-TV,Germany,0.0
201,Romance,Germany,0.0802675585284
202,Sci-Fi,Germany,0.0367892976589
203,Short,Germany,0.0
204,Sport,Germany,0.0133779264214
205,Thriller,Germany,0.110367892977
206,War,Germany,0.0200668896321
207,Western,Germany,0.0
208,Action,China,0.206896551724
209,Adventure,China,0.137931034483
210,Animation,China,0.0229885057471
211,Biography,China,0.0114942528736
212,Comedy,China,0.0689655172414
213,Crime,China,0.0229885057471
214,Documentary,China,0.0
215,Drama,China,0.206896551724
216,Family,China,0.0229885057471
217,Fantasy,China,0.0344827586207
218,Film-Noir,China,0.0
219,Game-Show,China,0.0
220,History,China,0.126436781609
221,Horror,China,0.0
222,Music,China,0.0
223,Musical,China,0.0
224,Mystery,China,0.0
225,News,China,0.0
226,Reality-TV,China,0.0
227,Romance,China,0.0574712643678
228,Sci-Fi,China,0.0
229,Short,China,0.0
230,Sport,China,0.0
231,Thriller,China,0.0229885057471
232,War,China,0.0574712643678
233,Western,China,0.0
234,Action,France,0.0685840707965
235,Adventure,France,0.0442477876106
236,Animation,France,0.0265486725664
237,Biography,France,0.0287610619469
238,Comedy,France,0.0907079646018
239,Crime,France,0.0862831858407
240,Documentary,France,0.00884955752212
241,Drama,France,0.216814159292
242,Family,France,0.0265486725664
243,Fantasy,France,0.0309734513274
244,Film-Noir,France,0.0
245,Game-Show,France,0.0
246,History,France,0.0199115044248
247,Horror,France,0.0287610619469
248,Music,France,0.0154867256637
249,Musical,France,0.00663716814159
250,Mystery,France,0.033185840708
251,News,France,0.0
252,Reality-TV,France,0.0
253,Romance,France,0.0730088495575
254,Sci-Fi,France,0.0287610619469
255,Short,France,0.0
256,Sport,France,0.00221238938053
257,Thriller,France,0.12389380531
258,War,France,0.033185840708
259,Western,France,0.00663716814159
260,Action,New Line,0.0
261,Adventure,New Line,0.0
262,Animation,New Line,0.0
263,Biography,New Line,0.0
264,Comedy,New Line,0.5
265,Crime,New Line,0.0
266,Documentary,New Line,0.0
267,Drama,New Line,0.0
268,Family,New Line,0.0
269,Fantasy,New Line,0.0
270,Film-Noir,New Line,0.0
271,Game-Show,New Line,0.0
272,History,New Line,0.0
273,Horror,New Line,0.0
274,Music,New Line,0.0
275,Musical,New Line,0.0
276,Mystery,New Line,0.0
277,News,New Line,0.0
278,Reality-TV,New Line,0.0
279,Romance,New Line,0.5
