Index,Genre,variable,value
0,Action,USA,0.079027077
1,Adventure,USA,0.062872877
2,Animation,USA,0.016704911
3,Biography,USA,0.016429555
4,Comedy,USA,0.140339605
5,Crime,USA,0.06167967
6,Documentary,USA,0.00826067
7,Drama,USA,0.169986232
8,Family,USA,0.040018357
9,Fantasy,USA,0.044699403
10,Film-Noir,USA,0.000550711
11,Game-Show,USA,9.18E-05
12,History,USA,0.010004589
13,Horror,USA,0.040201927
14,Music,USA,0.015878844
15,Musical,USA,0.010096374
16,Mystery,USA,0.034052318
17,News,USA,0.00018357
18,Reality-TV,USA,9.18E-05
19,Romance,USA,0.077007802
20,Sci-Fi,USA,0.044056907
21,Short,USA,0.000367141
22,Sport,USA,0.013859569
23,Thriller,USA,0.096374484
24,War,USA,0.010463515
25,Western,USA,0.006700321
26,Action,UK,0.068627451
27,Adventure,UK,0.073906486
28,Animation,UK,0.009049774
29,Biography,UK,0.042986425
30,Comedy,UK,0.09653092
31,Crime,UK,0.058069382
32,Documentary,UK,0.008295626
33,Drama,UK,0.19984917
34,Family,UK,0.028657617
35,Fantasy,UK,0.034690799
36,Film-Noir,UK,0
37,Game-Show,UK,0
38,History,UK,0.029411765
39,Horror,UK,0.030165913
40,Music,UK,0.016591252
41,Musical,UK,0.00678733
42,Mystery,UK,0.037707391
43,News,UK,0
44,Reality-TV,UK,0
45,Romance,UK,0.081447964
46,Sci-Fi,UK,0.034690799
47,Short,UK,0.000754148
48,Sport,UK,0.010558069
49,Thriller,UK,0.10331825
50,War,UK,0.024886878
51,Western,UK,0.003016591
52,Action,New Zealand,0.125
53,Adventure,New Zealand,0.145833333
54,Animation,New Zealand,0
55,Biography,New Zealand,0.0625
56,Comedy,New Zealand,0.020833333
57,Crime,New Zealand,0.041666667
58,Documentary,New Zealand,0.020833333
59,Drama,New Zealand,0.25
60,Family,New Zealand,0.020833333
61,Fantasy,New Zealand,0.0625
62,Film-Noir,New Zealand,0
63,Game-Show,New Zealand,0
64,History,New Zealand,0
65,Horror,New Zealand,0.020833333
66,Music,New Zealand,0.020833333
67,Musical,New Zealand,0
68,Mystery,New Zealand,0.020833333
69,News,New Zealand,0
70,Reality-TV,New Zealand,0
71,Romance,New Zealand,0.104166667
72,Sci-Fi,New Zealand,0
73,Short,New Zealand,0
74,Sport,New Zealand,0.020833333
75,Thriller,New Zealand,0.020833333
76,War,New Zealand,0
77,Western,New Zealand,0.041666667
78,Action,Canada,0.074927954
79,Adventure,Canada,0.037463977
80,Animation,Canada,0.008645533
81,Biography,Canada,0.017291066
82,Comedy,Canada,0.11815562
83,Crime,Canada,0.051873199
84,Documentary,Canada,0.005763689
85,Drama,Canada,0.187319885
86,Family,Canada,0.031700288
87,Fantasy,Canada,0.040345821
88,Film-Noir,Canada,0
89,Game-Show,Canada,0
90,History,Canada,0.011527378
91,Horror,Canada,0.083573487
92,Music,Canada,0.008645533
93,Musical,Canada,0.005763689
94,Mystery,Canada,0.051873199
95,News,Canada,0
96,Reality-TV,Canada,0
97,Romance,Canada,0.048991354
98,Sci-Fi,Canada,0.063400576
99,Short,Canada,0
100,Sport,Canada,0.020172911
101,Thriller,Canada,0.112391931
102,War,Canada,0.008645533
103,Western,Canada,0.011527378
104,Action,Australia,0.090909091
105,Adventure,Australia,0.090909091
106,Animation,Australia,0.011363636
107,Biography,Australia,0.028409091
108,Comedy,Australia,0.090909091
109,Crime,Australia,0.022727273
110,Documentary,Australia,0.005681818
111,Drama,Australia,0.159090909
112,Family,Australia,0.045454545
113,Fantasy,Australia,0.028409091
114,Film-Noir,Australia,0
115,Game-Show,Australia,0
116,History,Australia,0.011363636
117,Horror,Australia,0.056818182
118,Music,Australia,0.011363636
119,Musical,Australia,0.011363636
120,Mystery,Australia,0.039772727
121,News,Australia,0
122,Reality-TV,Australia,0
123,Romance,Australia,0.073863636
124,Sci-Fi,Australia,0.073863636
125,Short,Australia,0
126,Sport,Australia,0.005681818
127,Thriller,Australia,0.090909091
128,War,Australia,0.034090909
129,Western,Australia,0.017045455
130,Action,Belgium,0.125
131,Adventure,Belgium,0.1875
132,Animation,Belgium,0.0625
133,Biography,Belgium,0.0625
134,Comedy,Belgium,0.0625
135,Crime,Belgium,0
136,Documentary,Belgium,0
137,Drama,Belgium,0.0625
138,Family,Belgium,0.0625
139,Fantasy,Belgium,0.0625
140,Film-Noir,Belgium,0
141,Game-Show,Belgium,0
142,History,Belgium,0
143,Horror,Belgium,0
144,Music,Belgium,0
145,Musical,Belgium,0
146,Mystery,Belgium,0
147,News,Belgium,0
148,Reality-TV,Belgium,0
149,Romance,Belgium,0.125
150,Sci-Fi,Belgium,0.125
151,Short,Belgium,0
152,Sport,Belgium,0
153,Thriller,Belgium,0.0625
154,War,Belgium,0
155,Western,Belgium,0
156,Action,Japan,0.141176471
157,Adventure,Japan,0.164705882
158,Animation,Japan,0.117647059
159,Biography,Japan,0
160,Comedy,Japan,0.047058824
161,Crime,Japan,0.011764706
162,Documentary,Japan,0
163,Drama,Japan,0.094117647
164,Family,Japan,0.082352941
165,Fantasy,Japan,0.070588235
166,Film-Noir,Japan,0
167,Game-Show,Japan,0
168,History,Japan,0.011764706
169,Horror,Japan,0.047058824
170,Music,Japan,0
171,Musical,Japan,0
172,Mystery,Japan,0.023529412
173,News,Japan,0
174,Reality-TV,Japan,0
175,Romance,Japan,0.011764706
176,Sci-Fi,Japan,0.094117647
177,Short,Japan,0
178,Sport,Japan,0
179,Thriller,Japan,0.058823529
180,War,Japan,0.011764706
181,Western,Japan,0.011764706
182,Action,Germany,0.086956522
183,Adventure,Germany,0.053511706
184,Animation,Germany,0.013377926
185,Biography,Germany,0.030100334
186,Comedy,Germany,0.107023411
187,Crime,Germany,0.096989967
188,Documentary,Germany,0.006688963
189,Drama,Germany,0.180602007
190,Family,Germany,0.040133779
191,Fantasy,Germany,0.036789298
192,Film-Noir,Germany,0
193,Game-Show,Germany,0
194,History,Germany,0.010033445
195,Horror,Germany,0.033444816
196,Music,Germany,0.006688963
197,Musical,Germany,0
198,Mystery,Germany,0.036789298
199,News,Germany,0
200,Reality-TV,Germany,0
201,Romance,Germany,0.080267559
202,Sci-Fi,Germany,0.036789298
203,Short,Germany,0
204,Sport,Germany,0.013377926
205,Thriller,Germany,0.110367893
206,War,Germany,0.02006689
207,Western,Germany,0
208,Action,China,0.206896552
209,Adventure,China,0.137931034
210,Animation,China,0.022988506
211,Biography,China,0.011494253
212,Comedy,China,0.068965517
213,Crime,China,0.022988506
214,Documentary,China,0
215,Drama,China,0.206896552
216,Family,China,0.022988506
217,Fantasy,China,0.034482759
218,Film-Noir,China,0
219,Game-Show,China,0
220,History,China,0.126436782
221,Horror,China,0
222,Music,China,0
223,Musical,China,0
224,Mystery,China,0
225,News,China,0
226,Reality-TV,China,0
227,Romance,China,0.057471264
228,Sci-Fi,China,0
229,Short,China,0
230,Sport,China,0
231,Thriller,China,0.022988506
232,War,China,0.057471264
233,Western,China,0
234,Action,France,0.068584071
235,Adventure,France,0.044247788
236,Animation,France,0.026548673
237,Biography,France,0.028761062
238,Comedy,France,0.090707965
239,Crime,France,0.086283186
240,Documentary,France,0.008849558
241,Drama,France,0.216814159
242,Family,France,0.026548673
243,Fantasy,France,0.030973451
244,Film-Noir,France,0
245,Game-Show,France,0
246,History,France,0.019911504
247,Horror,France,0.028761062
248,Music,France,0.015486726
249,Musical,France,0.006637168
250,Mystery,France,0.033185841
251,News,France,0
252,Reality-TV,France,0
253,Romance,France,0.07300885
254,Sci-Fi,France,0.028761062
255,Short,France,0
256,Sport,France,0.002212389
257,Thriller,France,0.123893805
258,War,France,0.033185841
259,Western,France,0.006637168
260,Action,New Line,0
261,Adventure,New Line,0
262,Animation,New Line,0
263,Biography,New Line,0
264,Comedy,New Line,0.5
265,Crime,New Line,0
266,Documentary,New Line,0
267,Drama,New Line,0
268,Family,New Line,0
269,Fantasy,New Line,0
270,Film-Noir,New Line,0
271,Game-Show,New Line,0
272,History,New Line,0
273,Horror,New Line,0
274,Music,New Line,0
275,Musical,New Line,0
276,Mystery,New Line,0
277,News,New Line,0
278,Reality-TV,New Line,0
279,Romance,New Line,0.5
280,Sci-Fi,New Line,0
281,Short,New Line,0
282,Sport,New Line,0
283,Thriller,New Line,0
284,War,New Line,0
285,Western,New Line,0
286,Action,Mexico,0.026315789
287,Adventure,Mexico,0.078947368
288,Animation,Mexico,0.026315789
289,Biography,Mexico,0
290,Comedy,Mexico,0.157894737
291,Crime,Mexico,0.026315789
292,Documentary,Mexico,0
293,Drama,Mexico,0.368421053
294,Family,Mexico,0.026315789
295,Fantasy,Mexico,0
296,Film-Noir,Mexico,0
297,Game-Show,Mexico,0
298,History,Mexico,0.078947368
299,Horror,Mexico,0
300,Music,Mexico,0
301,Musical,Mexico,0
302,Mystery,Mexico,0
303,News,Mexico,0
304,Reality-TV,Mexico,0
305,Romance,Mexico,0.078947368
306,Sci-Fi,Mexico,0
307,Short,Mexico,0
308,Sport,Mexico,0
309,Thriller,Mexico,0.026315789
310,War,Mexico,0.078947368
311,Western,Mexico,0.026315789
312,Action,Spain,0.021052632
313,Adventure,Spain,0.052631579
314,Animation,Spain,0.021052632
315,Biography,Spain,0.021052632
316,Comedy,Spain,0.042105263
317,Crime,Spain,0.042105263
318,Documentary,Spain,0
319,Drama,Spain,0.252631579
320,Family,Spain,0.021052632
321,Fantasy,Spain,0.021052632
322,Film-Noir,Spain,0
323,Game-Show,Spain,0
324,History,Spain,0.031578947
325,Horror,Spain,0.052631579
326,Music,Spain,0
327,Musical,Spain,0.010526316
328,Mystery,Spain,0.094736842
329,News,Spain,0
330,Reality-TV,Spain,0
331,Romance,Spain,0.084210526
332,Sci-Fi,Spain,0.021052632
333,Short,Spain,0
